time,distance,orientation
0.037153006,2.219189651,-2.121221666
0.142732143,2.220201386,-2.070099528
0.248122215,2.224539511,-1.909437946
0.349092245,2.230341906,-1.7395543
0.454896212,2.236381401,-1.543050711
0.558691025,2.241633845,-1.338423423
0.664668322,2.247921566,-1.116254373
0.770062208,2.250013617,-0.890112794
0.875536203,2.248905085,-0.723098152
0.978839159,2.239936886,-0.645059022
1.085956097,2.20895583,-0.648920799
1.191340208,2.173588677,-0.646153998
1.297304153,2.139327924,-0.647641051
1.404833078,2.109567664,-0.638799249
1.510808229,2.043646442,-0.66853579
1.617707014,1.986576148,-0.662228126
1.725162983,1.94219372,-0.674961655
1.832424164,1.895281966,-0.678031897
1.937067032,1.85441687,-0.667901487
2.042994261,1.812117855,-0.666016388
2.148915291,1.805008461,-0.655009248
2.26153326,1.805008461,-0.655009248
2.370646,1.805008461,-0.655009248
2.474027157,1.643059185,1.531016848
2.581940174,1.618888298,-0.640720728
2.687195301,1.603799388,-0.728709273
2.792756319,1.577478723,-0.650280649
2.898183346,1.558554505,-0.50653345
3.003605366,1.539228318,-0.406064409
3.10939312,1.513719761,-0.417086044
3.217264175,1.472810726,-0.435726465
3.324426413,1.425132356,-0.439030253
3.431132317,1.373598515,-0.420975454
3.539009094,1.323847439,-0.42494378
3.646812201,1.273417889,-0.434326612
3.756152153,1.223176032,-0.425075582
3.865816116,1.179170897,-0.430196995
3.976505041,1.129603566,-0.406206654
4.082483292,1.08609336,-0.407378099
4.19078517,1.044865371,-0.39641426
4.298616171,1.011375757,-0.379202248
4.401888371,0.970114037,-0.332803272
4.515894175,0.933330454,-0.284880123
4.623333216,0.891837114,-0.250538162
4.730504274,0.857294153,-0.241195198
4.837268353,0.82385642,-0.242756333
4.944262266,0.82385642,-0.242756333
5.054929256,0.798753697,-0.236623365
5.161886215,0.784166394,-0.243798623
5.26371932,0.613893693,-0.260505986
5.370200157,0.565564675,-0.273230918
5.477833271,0.524739999,-0.267236496
5.583773136,0.488220629,-0.162107575
5.689890146,0.457182907,-0.036522095
5.800573349,0.430881251,0.059468347
5.907374144,0.394516932,0.063314724
6.015840292,0.353920975,0.074779572
6.122993231,0.318041344,0.06742906
6.232500315,0.271938233,0.073814224
6.33580637,0.235631483,0.082778572
6.448873281,0.199289689,0.073226434
6.56431222,0.166633093,0.085603464
6.67331624,0.144496795,0.096332588
6.779553175,0.118921849,0.118579757
6.890514135,0.112499759,0.121878195